#HJD-2450000 Imag ERR_Imag
5683.50806 15.251 0.006
5684.51308 15.316 0.006
5685.48454 15.124 0.006
5686.48508 15.036 0.005
5687.48724 14.995 0.005
5691.47874 15.290 0.006
5694.49535 15.007 0.005
5695.47976 15.032 0.005
5696.48818 15.126 0.006
5697.47811 15.297 0.006
5699.48765 15.133 0.006
5700.47920 15.048 0.006
5702.47607 15.039 0.006
5706.47578 15.130 0.006
5709.46285 15.049 0.005
5784.93602 15.362 0.006
5796.90356 15.087 0.005
5803.88735 15.104 0.005
5805.85183 15.324 0.006
5806.90282 15.196 0.005
5809.86402 15.029 0.005
5810.86716 15.117 0.005
5812.86008 15.351 0.005
5814.90907 15.082 0.005
5815.88843 15.029 0.005
5816.86260 15.040 0.005
5817.86425 15.110 0.005
5818.89226 15.190 0.005
5819.84626 15.330 0.006
5820.91367 15.206 0.006
5822.83392 15.010 0.005
5823.90874 15.011 0.006
5824.83073 15.130 0.005
5825.81899 15.300 0.005
5826.86749 15.338 0.006
5827.86147 15.160 0.005
5828.88768 15.069 0.005
5829.86106 15.006 0.005
5830.85262 15.038 0.005
5831.84431 15.118 0.005
5832.83374 15.291 0.005
5833.81810 15.282 0.005
5834.81906 15.126 0.005
5835.87896 15.053 0.005
5836.78546 15.014 0.005
5837.86482 15.031 0.005
5839.84649 15.256 0.005
5840.82998 15.302 0.005
5841.82701 15.134 0.005
5842.84462 15.034 0.006
5843.86011 15.009 0.005
5845.87509 15.094 0.006
5846.83561 15.275 0.007
5850.80023 15.009 0.005
5851.80845 15.041 0.005
5853.86396 15.244 0.006
5854.76727 15.217 0.005
5855.83699 15.141 0.005
5856.80859 15.027 0.005
5857.79343 15.012 0.006
5858.84280 15.032 0.006
5859.81131 15.144 0.005
5860.79638 15.338 0.006
5861.80536 15.259 0.005
5863.80855 15.018 0.005
5864.71584 15.023 0.005
5865.78546 15.041 0.005
5866.80958 15.134 0.005
5867.74850 15.370 0.006
5868.85000 15.329 0.005
5869.81551 15.131 0.005
5870.75529 15.013 0.005
5871.74142 15.011 0.005
5872.75075 15.066 0.005
5873.74600 15.204 0.005
5874.77956 15.350 0.006
5875.71547 15.169 0.005
5878.81642 15.018 0.006
5879.70054 15.097 0.006
5880.75201 15.188 0.005
5881.73854 15.383 0.006
5882.76935 15.224 0.005
5883.77329 15.089 0.005
5885.70461 15.032 0.006
5886.74067 15.057 0.005
5887.81306 15.142 0.005
5888.80171 15.334 0.005
5889.84389 15.311 0.005
5890.77744 15.095 0.005
5891.73610 15.003 0.005
5892.75387 15.014 0.005
5893.77199 15.052 0.005
5894.79548 15.155 0.005
5895.81255 15.320 0.006
5896.79561 15.251 0.005
5897.74241 15.084 0.005
5898.72463 15.015 0.005
5899.78378 15.008 0.005
